Date,Year,Month,Day
2024-01-01,2024,January,1
2024-01-02,2024,January,2
2024-01-03,2024,January,3
2024-01-04,2024,January,4
2024-01-05,2024,January,5
2024-01-06,2024,January,6
2024-01-07,2024,January,7
2024-01-08,2024,January,8
2024-01-09,2024,January,9
2024-01-10,2024,January,10
2024-01-11,2024,January,11
2024-01-12,2024,January,12
2024-01-13,2024,January,13
2024-01-14,2024,January,14
2024-01-15,2024,January,15
2024-01-16,2024,January,16
2024-01-17,2024,January,17
2024-01-18,2024,January,18
2024-01-19,2024,January,19
2024-01-20,2024,January,20
2024-01-21,2024,January,21
2024-01-22,2024,January,22
2024-01-23,2024,January,23
2024-01-24,2024,January,24
2024-01-25,2024,January,25
2024-01-26,2024,January,26
2024-01-27,2024,January,27
2024-01-28,2024,January,28
2024-01-29,2024,January,29
2024-01-30,2024,January,30
2024-01-31,2024,January,31
2024-02-01,2024,February,1
2024-02-02,2024,February,2
2024-02-03,2024,February,3
2024-02-04,2024,February,4
2024-02-05,2024,February,5
2024-02-06,2024,February,6
2024-02-07,2024,February,7
2024-02-08,2024,February,8
2024-02-09,2024,February,9
2024-02-10,2024,February,10
2024-02-11,2024,February,11
2024-02-12,2024,February,12
2024-02-13,2024,February,13
2024-02-14,2024,February,14
2024-02-15,2024,February,15
2024-02-16,2024,February,16
2024-02-17,2024,February,17
2024-02-18,2024,February,18
2024-02-19,2024,February,19
2024-02-20,2024,February,20
2024-02-21,2024,February,21
2024-02-22,2024,February,22
2024-02-23,2024,February,23
2024-02-24,2024,February,24
2024-02-25,2024,February,25
2024-02-26,2024,February,26
2024-02-27,2024,February,27
2024-02-28,2024,February,28
2024-02-29,2024,February,29
2024-03-01,2024,March,1
2024-03-02,2024,March,2
2024-03-03,2024,March,3
2024-03-04,2024,March,4
2024-03-05,2024,March,5
2024-03-06,2024,March,6
2024-03-07,2024,March,7
2024-03-08,2024,March,8
2024-03-09,2024,March,9
2024-03-10,2024,March,10
2024-03-11,2024,March,11
2024-03-12,2024,March,12
2024-03-13,2024,March,13
2024-03-14,2024,March,14
2024-03-15,2024,March,15
2024-03-16,2024,March,16
2024-03-17,2024,March,17
2024-03-18,2024,March,18
2024-03-19,2024,March,19
2024-03-20,2024,March,20
2024-03-21,2024,March,21
2024-03-22,2024,March,22
